"","site","Date","D50","psand"
"1","0",71717,7.475,47.1861471861472
"2","14",72217,41.3571428571429,27.2631578947368
"3","19",72217,60.125,33.08
"4","20",72217,15.1571428571429,35.3448275862069
"5","23",72017,18.3333333333333,40.1724137931034
"6","24",72017,56,4.3448275862069
"7","26",71417,39.1153846153846,10.3535353535354
"8","27",71217,34.1923076923077,0
"9","29",72017,54.5,0
"10","3",72217,90.4736842105263,0
"11","30",71417,34.3,15.8571428571429
"12","31",80117,45.8846153846154,6.41666666666667
"13","32",80117,33.4090909090909,2.71428571428571
"14","35",72017,6.8,28.9166666666667
"15","36",72017,44.4259259259259,0
"16","37",72017,40.3823529411765,0
"17","38",72017,16.4,28.8333333333333
"18","40-alt1",80917,38.5,16.4166666666667
"19","42",71417,12.9285714285714,36.5714285714286
"20","45",80317,35.14,23.4166666666667
"21","48",71217,1,63.5111876075731
"22","53",71517,31.3727272727273,4.08333333333333
"23","57",73017,1,50.4166666666667
"24","6",71717,16.98,37.7142857142857
"25","7",73017,1,69.3529411764706
"26","71",80517,12.5,34.1428571428571
"27","9-alt",71717,27.3,37.7142857142857
