"","site","date","samptype","SR_m","SR_sd","SR_c","a254dec_m","a254dec_sd","a254dec_c","atot250450nap_m","atot250450nap_sd","atot250450nap_c"
"1","0",2017-07-17,"Sample",0.955239290035877,0.147356329763158,15.4261169217216,10.3580198019802,0.274079722496549,2.64606293226194,1640.69438622937,76.2568598886741,4.64784060509446
"2","1",2017-08-03,"Duplicate",0.891563260721827,NA,NA,11.5629785478548,NA,NA,2198.26037707096,NA,NA
"3","1",2017-08-03,"Sample",0.911681024918153,0.0774102567651989,8.49093648429817,11.7514397689769,0.0612650850597358,0.521341097466814,2200.75883754538,50.7756387829115,2.30718777162991
"4","1",2017-08-08,"Duplicate",0.900075216582718,NA,NA,11.6802722772277,NA,NA,2229.53367294554,NA,NA
"5","10",2017-07-22,"Sample",0.99907539445122,0.00284894902194877,0.285158561383014,36.3118275577558,0.123212773200314,0.33931856777062,6709.38326613449,53.2849289443373,0.794185200498117
"6","12-1",2017-08-09,"Sample",0.664983274930475,0.0019849032383603,0.298489197125721,113.238968646865,0.553118527204397,0.488452459267177,19606.4450993729,1.44482099444324,0.00736911248887971
"7","13",2017-07-13,"Sample",0.741309201480112,0.000146810925781073,0.0198042767428149,78.5047896039604,0.344609539969845,0.43896626143236,13730.2619420421,90.2295225592244,0.657158056707873
"8","14",2017-07-22,"Sample",0.871231978117691,0.00377835181889453,0.433679193807568,44.4444843234323,0.0701914330400639,0.157930582632628,7570.0447117698,35.0189852302303,0.462599450380831
"9","19",2017-07-22,"Sample",0.94302678535184,0.120159812597871,12.7419299710601,9.17592821782178,0.0576128668664789,0.627869633445708,2034.09190564769,16.6833345329081,0.820185876881301
"10","20",2017-07-22,"Sample",1.17417733534919,0.0788899671540344,6.71874381995059,16.1757632013201,0.0169483927338866,0.104776464164012,3279.99801318069,27.8993869880501,0.850591581944142
"11","23",2017-07-20,"Sample",1.42227590356311,0.0897864901179052,6.31287430891368,8.55483085808581,0.0179752144623413,0.21011770729928,1641.84747286716,11.8260691754556,0.720290366242344
"12","24",2017-07-20,"Sample",1.33983594811818,0.0077040517600386,0.574999631175674,8.90604785478548,0.197733193300119,2.22021256256636,1654.5437959571,83.8747797564355,5.06935990219086
"13","26",2017-07-14,"Sample",0.497755009029908,0.0841782409536016,16.9115808834671,3.00444306930693,0.0860371592587293,2.86366415585223,505.678669278053,25.7270497420232,5.08762803437076
"14","27",2017-07-12,"Sample",0.992110097913269,0.0487473407994356,4.91350112270474,10.2865800330033,0.0814397983381431,0.791709179113495,1810.40193368399,22.4779895185497,1.24160216028985
"15","29",2017-07-20,"Sample",1.27339100971451,0.00396646950532144,0.311488731667008,5.24907590759076,0.156660324161891,2.98453150459002,947.600265684818,54.694963628152,5.77194473332325
"16","3",2017-07-22,"Sample",1.24841564185457,0.102352426968654,8.19858575438909,3.59791254125413,0.27304123233936,7.58887908498703,766.116949084158,136.976640534559,17.8793382261423
"17","30",2017-07-14,"Sample",0.797025383795069,0.236094988123663,29.622016177137,3.27102310231023,0.0871514942026786,2.66434969967427,617.335985462046,35.0499019165028,5.67760550849302
"18","31",2017-07-29,"Duplicate",2.33411277004797,0.957561998391093,41.0246673030889,2.08773514851485,0.160143350138528,7.67067366051908,632.618205119637,39.3956378680159,6.2273955363908
"19","31",2017-07-29,"Sample",1.01093047674633,0.186189422039172,18.4176287412386,2.05895214521452,0.0156706997876821,0.76110072903367,549.158520709571,9.21088835583301,1.67727313853413
"20","32",2017-07-29,"Sample",1.1526252456633,0.334237398954343,28.997924538951,1.99660478547855,0.122465993761442,6.13371232264624,557.736844179043,51.9646077391139,9.31704768681777
"21","35",2017-07-20,"Sample",0.885891693169396,0.00583562208964471,0.658728615996725,52.2005115511551,0.286716630813792,0.549260193614803,9189.38528106435,21.3484219834719,0.232316105272705
"22","36",2017-07-20,"Sample",1.06575095132575,0.161915420182271,15.1926132442908,7.98983498349835,0.346493991210141,4.33668519970394,1622.596302533,196.05381938551,12.0827231690011
"23","37",2017-07-20,"Sample",1.37570256084624,0.201692416850171,14.6610482956508,6.74899752475248,0.0962703712570884,1.4264395697881,1399.62560953383,27.692926405148,1.97859529123446
"24","38",2017-07-20,"Sample",1.10310823914709,0.00650165435394957,0.58939405247998,51.1304867986799,0.414322567431882,0.810323924869378,9550.12725806931,137.506214751302,1.43983646537398
"25","40-alt1",2017-08-09,"Duplicate",0.956234352707486,0.117502380565042,12.2880317186205,15.0099958745875,0.480896787564881,3.20384356919817,2594.33334783416,127.948497876243,4.93184493746953
"26","40-alt1",2017-08-09,"Sample",0.940802120792275,0.0771005708666834,8.19519526611557,15.2139273927393,0.287556757682529,1.89008893140744,2658.86778771452,80.4055540304607,3.02405235799915
"27","42",2017-07-15,"Sample",0.682807700095055,0.0961914725902636,14.0876373504389,3.74438118811881,0.0543515410357584,1.45154935635879,814.276973457096,17.3054975741215,2.12525935747014
"28","45",2017-08-03,"Duplicate",0.0276408475538282,0.244702051961716,885.291420551338,2.5282301980198,0.163188810037698,6.4546658039886,642.980565020627,68.7118851272891,10.6864637697229
"29","45",2017-08-03,"Sample",0.394561636626695,0.167002534638794,42.3260953767787,3.04688943894389,0.220019892179101,7.22113147155625,828.361718622112,109.653652905217,13.237411922851
"30","48",2017-07-12,"Sample",0.944676578837169,0.0435646681537818,4.61159608798674,14.4824051155116,0.0886042135798703,0.61180593190954,2333.49193851898,38.9524315171368,1.66927645534782
"31","5",2017-07-22,"Sample",1.11129672846671,0.0705193740923616,6.3456835862065,15.9753547854785,0.113358785135766,0.709585399873611,3128.97589042904,34.5745561855444,1.10497994859281
"32","53",2017-07-15,"Sample",0.949022237592503,0.00834087707933783,0.878891636985991,5.4601196369637,0.0995141944447108,1.82256435868225,941.863391976073,6.02141766022421,0.639309024166551
"33","57",2017-07-30,"Sample",1.04212123609655,0.0354192059964218,3.39876060189413,17.5003424092409,0.035547868133413,0.203126700621825,2881.26523893152,92.6837511907305,3.2167726156687
"34","6",2017-07-17,"Sample",0.865762251195371,0.0496704666869235,5.73719478047728,30.5824669966997,0.402117390977736,1.31486250282271,4847.60972517327,186.564748034206,3.84859257677839
"35","62",2017-08-05,"Sample",0.785954743394769,0.0113392339236197,1.44273369668109,55.9491171617162,0.0641646895997448,0.11468400728162,9391.03725317657,4.71591657884219,0.0502172065950117
"36","7",2017-07-30,"Sample",0.930147775360888,0.0296405669956769,3.18665138818148,32.3654084158416,0.422169585754453,1.30438516434051,5525.79998691832,109.424229863889,1.98024232007923
"37","71",2017-08-05,"Sample",0.832597367242181,0.00827337685430056,0.993682802733875,27.3782920792079,0.0297544932677487,0.108679143248477,4646.04926500825,57.7040533966843,1.24200261566925
"38","8",2017-07-22,"Sample",1.07586435154491,0.0112634556404901,1.04692154027746,12.0191666666667,0.102215435696273,0.850436960656779,2284.99054,96.5525290678025,4.22551110727148
"39","9-alt",2017-07-17,"Sample",0.898642483414606,0.0518665744107482,5.77165840342521,30.3107136963696,0.036037942140173,0.118895062983916,4659.58532802393,87.6533738880674,1.88114108268171
"40","BL",2017-07-21,"Field Blank",NA,NA,NA,1.62824669966997,0.164122284336293,10.0796939658812,603.693266183993,37.9941351684613,6.29361586366966
"41","BL",2017-08-07,"Field Blank",NA,NA,NA,0.766835808580858,0.285485611582519,37.2290402179904,289.457922966172,79.7317959978153,27.5452111245659
"42","SC Outlet",2017-07-10,"Duplicate",0.885004929689115,0.113236992582825,12.7950691328468,15.7911922442244,0.0390017230382184,0.246984030306408,2663.91765676155,4.21798460293597,0.158337649522683
"43","SC Outlet",2017-07-10,"Sample",0.962795007052523,0.0541449818989658,5.62372898720403,16.3113820132013,0.135814676231364,0.83263745598898,2809.95812639026,63.7375367606336,2.26827354336815
"44","SC Outlet",2017-08-07,"Duplicate",1.13079101936963,0.0545664325340546,4.82550989523007,11.4368729372937,0.163591370828968,1.43038548846271,2042.45537745875,62.7941948977564,3.07444635465603
"45","SC Outlet",2017-08-07,"Sample",1.14704685268977,0.0971917451148307,8.4732149246494,11.3250041254125,0.252253926552497,2.2274069285896,2017.29556799917,115.623744297923,5.73162139113819
