OID_,FID_allslumpsclippedtowatershed,FID_Peel_Slumps_2016,OBJECTID,SHAPE_Leng,SLUMP_ID,STATUS,GEOMORPH,SECONDARY,CONNECTIVI,RIPARIAN,NOTES,IMAGE_SOUR,IMAGE_DATE,FID_rts_delineations_stony_sarahaddCB,FID_rts_delineations_stony,OBJECTID_1,SHAPE_Leng_1,SLUMP_ID_1,STATUS_1,GEOMORPH_1,SECONDARY_1,CONNECTIVI_1,RIPARIAN_1,NOTES_1,IMAGE_SOUR_1,IMAGE_DATE_1,mapped,FID_Peel_Slumps_2016_CB,OBJECTID_12,SHAPE_Leng_12,SLUMP_ID_12,STATUS_12,GEOMORPH_12,SECONDARY_12,CONNECTIVI_12,RIPARIAN_12,NOTES_12,IMAGE_SOUR_12,IMAGE_DATE_12,FID_revisedsite10wpoly_nad83zn8,HydroID,CREATED,Shape_Length,Shape_Area
1,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,98745.926826527444064,105031296.772992432117462
2,31,98,167,259.370402739999975,100,2,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,259.370402739723374,3601.036881059412735
3,32,101,172,407.650414544999990,103,2,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,407.650414545209742,6205.580672603373387
4,66,166,262,1073.366085959999964,168,2,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,1073.366085963858268,27861.699935856871889
5,79,206,318,502.989653338999972,208,2,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,502.989653338773508,9809.045748219125016
6,80,207,319,311.495050424999988,209,2,1,0,0,1, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,311.495050425487761,4676.007036982060526
7,81,208,320,378.866006115000005,210,2,1,0,1,0, ,1,2,-1,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,0,0,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,378.866006114560037,4957.531974915324099
8,159,99,170,288.001327385000025,101,1,1,0,1,0, ,1,2,63,63,170,288.001327385000025,101,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,288.001327385327613,4592.857118780556448
9,160,100,171,817.271048936000057,102,1,1,0,1,0, ,1,2,64,64,171,817.271048936000057,102,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,817.271048936328611,26002.778209468942805
10,161,103,174,299.882333309999979,105,1,1,0,1,0, ,1,2,65,65,174,299.882333309999979,105,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,299.882333310460922,2931.006657418639406
11,162,104,178,801.285367873000041,106,1,1,0,1,0, ,1,2,66,66,178,801.285367873000041,106,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,801.285367872664551,23019.267370689391100
12,172,162,257,502.698585341000012,164,1,2,0,1,0, ,1,2,75,75,257,502.698585341000012,164,1,2,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,502.698585341151897,12600.614449538425106
13,184,189,295,9141.977388190000056,191,1,1,1,1,0, ,1,1,87,87,295,9141.977388190000056,191,1,1,1,1,0, ,1,1,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,8718.308318608667832,485577.153310863184743
14,188,209,322,687.454495725000015,211,1,1,0,1,0, ,1,2,91,91,322,687.454495725000015,211,1,1,0,1,0, ,1,2,1,-1,0,0.000000000000000,0,0,0,0,0,0,,0,0,1,0,2021-10-11 19:02:44,687.454495725137690,12454.974904935023005
