"","cat","slumpsite","streamlocation","samplingdate","F14C_A","F14Cerror_A","F14C_DIC","PO13C","percPOC","Transect Location","Sample Type","d13C","PercPOC"
"1","HOL","CB","HW",NA,0.00842818961394227,NA,NA,NA,NA,"HOL",NA,NA,NA
"2","HOL","CB","HW",NA,0.0473981460071102,NA,NA,NA,NA,"HOL",NA,NA,NA
"3","HOL","SB","HW",2017-07-12,0.4912,0.0022,NA,-26.81589522,NA,"HOL","Sample",-26.8158952199667,0.7396852721262
"4","HOL","SC","HW",2017-07-13,0.0066,3e-04,NA,-26.8297521,NA,"HOL","Sample",-26.8297520969638,1.58263333641507
"5","HOL","SC","HW",2017-08-08,NA,NA,NA,NA,NA,"HOL","Sample",-26.515627475523,2.8632008558503
"6","HOL","SD","HW",2017-07-13,NA,NA,NA,-26.70750551,NA,"HOL","Sample",-26.7075055096378,1.41543780544242
"7","HOL","SE","HW",2017-07-14,NA,NA,NA,-26.61251415,NA,"HOL","Sample",-26.6125141460486,1.90452169869846
"8","HOL","SF","HW",2017-08-03,NA,NA,NA,-26.92139318,NA,"HOL","Sample",-26.9213931808728,1.84968939211727
"9","HOL","Wilson","HW",NA,0.00741300892232058,NA,NA,NA,NA,"HOL",NA,NA,NA
"10","LAL","SB","HW",2017-07-12,0.313,0.0017,NA,NA,NA,"BHO","Sample",-26.476461922941,2.9023312370332
"11","LAL","SC","HW",2017-07-13,0.6031,0.0028,NA,-26.21648342,NA,"BHO","Sample",-26.2164834176059,2.03135540844192
"12","LAL","SC","HW",2017-08-08,NA,NA,NA,-26.57363291,NA,"BHO","Sample",-26.5736329072559,1.43537675020606
"13","LAL","SC","HW",2017-08-08,NA,NA,NA,-26.57363291,NA,"AHO","Sample",-26.5104683003959,4.86797403921818
"14","LAL","SD","HW",2017-07-13,NA,NA,NA,-26.7278605,NA,"BHO","Sample",-26.7278605016417,1.13865869133494
"15","LAL","SF","HW",2017-08-03,NA,NA,NA,-26.91042024,NA,"BHO","Sample",-26.9104202421752,4.45661957662501
"16","LAL","SF","HW",2017-08-03,NA,NA,NA,-26.91042024,NA,"AHO","Sample",-26.0620596374255,2.62919060845547
"17","LAL","SF","HW",2017-08-03,NA,NA,NA,-26.06205964,NA,"BHO","Sample",-26.9104202421752,4.45661957662501
"18","LAL","SF","HW",2017-08-03,NA,NA,NA,-26.06205964,NA,"AHO","Sample",-26.0620596374255,2.62919060845547
"19","LAL","SG","HW",2017-08-08,NA,NA,NA,-26.50522078,NA,NA,NA,NA,NA
"20","LAL","SG","HW",2017-08-08,NA,NA,NA,-26.31559151,NA,NA,NA,NA,NA
"21","LAL","SH","HW",2017-08-08,NA,NA,NA,NA,NA,"AHO","Sample",-26.505220775704,4.99219986449936
"22","LAL","SH","HW",2017-08-08,NA,NA,NA,NA,NA,"BHO","Sample",-26.3155915108524,1.52869426174145
"23","PERI",NA,"HW",2017-07-13,NA,NA,NA,-30.02426045,NA,NA,NA,NA,NA
"24","PERI",NA,"HW",2017-07-20,NA,NA,NA,-34.53933903,NA,NA,NA,NA,NA
"25","PERI",NA,"HW",2017-07-20,NA,NA,NA,-38.82892633,NA,NA,NA,NA,NA
"26","PERI",NA,"HW",2017-08-09,NA,NA,NA,-30.15221151,NA,NA,NA,NA,NA
"27","PLE","CB","HW",NA,0.00654613246931981,NA,NA,NA,NA,"PLE",NA,NA,NA
"28","PLE","CB","HW",NA,0.00748720331589252,NA,NA,NA,NA,"PLE",NA,NA,NA
"29","PLE","SB","HW",2017-07-12,0.0038,3e-04,NA,-26.57233975,NA,"PLE","Sample",-26.5723397450581,1.16899557652916
"30","PLE","SC","HW",2017-07-13,0.0026,2e-04,NA,-26.83167724,NA,"PLE","Sample",-26.8316772412255,1.69965896184191
"31","PLE","SC","HW",2017-08-08,NA,NA,NA,-26.69445173,NA,"PLE","Sample",-26.6944517340622,1.41879060900643
"32","PLE","SD","HW",2017-07-13,NA,NA,NA,NA,NA,"PLE","Sample",-26.6978336746205,3.45102311684335
"33","PLE","SF","HW",2017-08-03,NA,NA,NA,-27.00837529,NA,"PLE","Sample",-27.00837528902,1.63454129914002
"34","PLE","SG","HW",2017-08-08,NA,NA,NA,-26.74403419,NA,NA,NA,NA,NA
"35","PLE","SH","HW",2017-08-08,NA,NA,NA,NA,NA,"PLE","Sample",-26.7440341902379,1.35201252789058
"36","PLE","Wilson","HW",NA,0.00439193856118122,NA,NA,NA,NA,"PLE",NA,NA,NA
"37","SB","0","NA",2017-07-17,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.8535904222354,2.23873007688726
"38","SB","12-1","NA",2017-08-09,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.1999226351422,2.38749052854161
"39","SB","19","NA",2017-07-22,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.0638133376222,2.7803923461464
"40","SB","20","NA",2017-07-22,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.8033259245377,3.93582495661438
"41","SB","23","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.9774566915435,0.994351554125117
"42","SB","24","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.0691552452359,2.90749476531884
"43","SB","26","NA",2017-07-14,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.8834910403811,0.617244880905136
"44","SB","27","NA",2017-07-12,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.7108639519724,1.81481748943219
"45","SB","29","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-25.080098844239,1.35306119785715
"46","SB","3","NA",2017-07-22,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.0711590244388,1.62500555351887
"47","SB","30","NA",2017-07-14,0.0858,8e-04,NA,NA,NA,"SS-0000","Sample",-28.0906534714148,0.775620081624122
"48","SB","31","NA",2017-07-29,NA,NA,NA,NA,NA,"SS-0000","Sample",-28.3813528302356,0.757763594083776
"49","SB","32","NA",2017-07-29,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.2893913174296,4.68236691334359
"50","SB","35","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-28.0241310574005,3.29093936343489
"51","SB","36","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.5892311301633,0.985924526657773
"52","SB","37","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.3381492634708,1.04056810803269
"53","SB","38","NA",2017-07-20,NA,NA,NA,NA,NA,"SS-0000","Sample",-25.2216738373311,1.29473238436367
"54","SB","40-alt1","NA",2017-08-09,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.7354932306692,5.98548111784727
"55","SB","45","NA",2017-08-03,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.3306095695503,0.772644111695558
"56","SB","48","NA",2017-07-12,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.3973845422717,1.58007003352574
"57","SB","5","NA",2017-07-22,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.1342750617271,2.17051145757152
"58","SB","53","NA",2017-07-15,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.5769135957122,7.32000068727554
"59","SB","57","NA",2017-07-30,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.3660456071501,3.76788853447828
"60","SB","6","NA",2017-07-17,NA,NA,NA,NA,NA,"SS-0000","Sample",-25.8970335319272,3.77378104143709
"61","SB","62","NA",2017-08-05,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.5095957545388,5.65600948418598
"62","SB","7","NA",2017-07-30,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.706416195268,1.88773855327368
"63","SB","71","NA",2017-08-05,NA,NA,NA,NA,NA,"SS-0000","Sample",-27.5314201264152,4.13633817268362
"64","SB","8","NA",2017-07-22,NA,NA,NA,NA,NA,"SS-0000","Sample",-26.4411022908386,2.22773653363432
"65","SB","9-alt","NA",2017-07-17,0.1044,0.0012,NA,NA,NA,"SS-0000","Sample",-24.0979340501078,0.58699908327749
"66","SB","SC Outlet","erosion",2017-07-10,0.2658,0.0013,NA,NA,NA,"SS-0000","Sample",-26.3476296104835,1.47243137818976
"67","SB","SC Outlet","streambank",2017-08-07,0.3233,0.0015,NA,NA,NA,"SS-0000","Sample",-26.8884764262154,1.78291365248175
"68","UAL","SB","HW",2017-07-12,0.9868,0.0045,NA,-26.77966125,NA,"OHO","Sample",-26.7796612477215,18.3039015001394
"69","UAL","SC","HW",2017-08-08,NA,NA,NA,NA,NA,"OHO","Sample",-26.7177304473753,18.4423462842548
"70","UAL","SD","HW",2017-07-13,NA,NA,NA,-26.68532498,NA,"OHO","Sample",-26.6853249792179,20.3816252687804
